date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:27	94478/94478	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202017%2007:46:34%20GMT	http://exprostudio.com/html/book_library/index.html	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/index.html	(from )
11:54:27	212/212	---M--	200	added ('OK')	text/plain	date:Thu,%2028%20Sep%202017%2005:45:45%20GMT	http://exprostudio.com/robots.txt		(from )
11:54:28	3959/3959	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Oct%202017%2007:46:31%20GMT	http://exprostudio.com/html/book_library/apple-touch-icon.png	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/apple-touch-icon.png	(from http://exprostudio.com/html/book_library/index.html)
11:54:29	121205/121205	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202017%2007:47:04%20GMT	http://exprostudio.com/html/book_library/css/bootstrap.min.css	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/css/bootstrap.min.css	(from http://exprostudio.com/html/book_library/index.html)
11:54:31	7840/7840	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202017%2007:47:04%20GMT	http://exprostudio.com/html/book_library/css/normalize.css	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/css/normalize.css	(from http://exprostudio.com/html/book_library/index.html)
11:54:31	31004/31004	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202017%2007:47:03%20GMT	http://exprostudio.com/html/book_library/css/font-awesome.min.css	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/css/font-awesome.min.css	(from http://exprostudio.com/html/book_library/index.html)
11:54:32	26944/26944	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202017%2007:47:03%20GMT	http://exprostudio.com/html/book_library/css/icomoon.css	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/css/icomoon.css	(from http://exprostudio.com/html/book_library/index.html)
11:54:33	37270/37270	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202017%2007:47:03%20GMT	http://exprostudio.com/html/book_library/css/jquery-ui.css	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/css/jquery-ui.css	(from http://exprostudio.com/html/book_library/index.html)
11:54:35	5343/5343	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202017%2007:47:04%20GMT	http://exprostudio.com/html/book_library/css/owl.carousel.css	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/css/owl.carousel.css	(from http://exprostudio.com/html/book_library/index.html)
11:54:35	1938/1938	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202017%2007:47:04%20GMT	http://exprostudio.com/html/book_library/css/transitions.css	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/css/transitions.css	(from http://exprostudio.com/html/book_library/index.html)
11:54:37	91819/91819	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202017%2007:47:05%20GMT	http://exprostudio.com/html/book_library/css/main.css	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/css/main.css	(from http://exprostudio.com/html/book_library/index.html)
11:54:37	3264/3264	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202017%2007:47:03%20GMT	http://exprostudio.com/html/book_library/css/color.css	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/css/color.css	(from http://exprostudio.com/html/book_library/index.html)
11:54:38	15962/15962	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202017%2007:47:05%20GMT	http://exprostudio.com/html/book_library/css/responsive.css	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/css/responsive.css	(from http://exprostudio.com/html/book_library/index.html)
11:54:38	1761/1761	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:59%20GMT	http://exprostudio.com/html/book_library/images/users/img-01.jpg	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/images/users/img-01.jpg	(from http://exprostudio.com/html/book_library/index.html)
11:54:39	20116/20116	---M--	200	added ('OK')	application/javascript	date:Mon,%2009%20Oct%202017%2007:48:00%20GMT	http://exprostudio.com/html/book_library/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	(from http://exprostudio.com/html/book_library/index.html)
11:54:39	8420/8420	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Oct%202017%2007:46:52%20GMT	http://exprostudio.com/html/book_library/images/logo.png	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/images/logo.png	(from http://exprostudio.com/html/book_library/index.html)
11:54:39	2937/2937	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:47%20GMT	http://exprostudio.com/html/book_library/images/products/img-01.jpg	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/images/products/img-01.jpg	(from http://exprostudio.com/html/book_library/index.html)
11:54:40	2331/2331	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:47%20GMT	http://exprostudio.com/html/book_library/images/products/img-02.jpg	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/images/products/img-02.jpg	(from http://exprostudio.com/html/book_library/index.html)
11:54:40	2777/2777	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:47%20GMT	http://exprostudio.com/html/book_library/images/products/img-03.jpg	C:/My%20Web%20Sites/book5/exprostudio.com/html/book_library/images/products/img-03.jpg	(from http://exprostudio.com/html/book_library/index.html)
